Number of Subs, Name, Link, Covered Games
252000, Retromation, https://www.youtube.com/channel/UC4Xj6emHTXnKHUq8btUuN6A, dicefolk (8) | slice and dice (6) | dungeons & degenerate gamblers (1) | dungeon clawler (1)
114000, Skoottie, https://www.youtube.com/channel/UCI_NMOUQwdBGLw-PlcdcWsw, balatro (2) | wildfrost (1) | slice and dice (1) | dungeons & degenerate gamblers (1)
1030000, GameTrailers, https://www.youtube.com/channel/UCJx5KP-pCUmL9eZUv-mIcNw, balatro (1) | dicefolk (1) | breachway (1)
628000, Aliensrock, https://www.youtube.com/channel/UCKtix2xNNXdcEfEFnoOnvMw, balatro (1) | dungeons & degenerate gamblers (4)
7490, GothicLordUK, https://www.youtube.com/channel/UCWXL-_EM-_eBhvNq726Vc5A, balatro (1) | dungeons & degenerate gamblers (1)
480000, Wanderbots, https://www.youtube.com/channel/UC2wac-sRkNMPSFEnaOHCL3g, dicefolk (1) | slice and dice (1)
9690, Voyix, https://www.youtube.com/channel/UCTCMXJ5SQw3K0tt7rn-S8LA, wildfrost (8)
52800, 1Dinosaur, https://www.youtube.com/channel/UCRex-DKwp4y2eXoe2tr8_3w, monster train (3)
1100000, Northernlion, https://www.youtube.com/channel/UC3tNpTOHsTnkmbwztCs30sA, balatro (2)
237000, Frost Prime, https://www.youtube.com/channel/UCnrdFUk_XfPJooztStcHG4g, slay the spire (2)
494000, relyte, https://www.youtube.com/channel/UC-cXqXSkuPkh7q4BFoBBGTg, monster train (2)
6610, Gaming With Jeff, https://www.youtube.com/channel/UCKyMt8pFPRK2NOuMsshgbTg, dungeon clawler (2)
2830000, RTGame, https://www.youtube.com/channel/UCRC6cNamj9tYAO6h_RXd5xA, balatro (1)
327000, Sinvicta, https://www.youtube.com/channel/UC86BKGkw3Giit6yTAntInfQ, balatro (1)
5270, Playstack, https://www.youtube.com/channel/UCznkRchE04jrOPmlgPbfZyA, balatro (1)
59000, Chucklefish, https://www.youtube.com/channel/UClwlgXslmWtaDR4sYGWxX0w, wildfrost (1)
148000, Olexa, https://www.youtube.com/channel/UC5ib5bTflXtyIkoF_l7OCHw, slice and dice (1)
2950, Aldenpotamus, https://www.youtube.com/channel/UCTislgVAOborjaro7eCeLXA, slice and dice (1)
996000, not Otzdarva, https://www.youtube.com/channel/UCDO__Z-tZD4bfG9m4AkK_uA, slay the spire (1)
541000, Stumpt, https://www.youtube.com/channel/UCVH4oOW0CBJ1W_WsJKd_62Q, slay the spire (1)
201000, Rarran, https://www.youtube.com/channel/UCrWJQayN_0HTwgxsuqYMVIA, slay the spire (1)
35000, GrubbyPlays, https://www.youtube.com/channel/UCAKzSdcPqeDGU4ZRCTv9eLQ, slay the spire (1)
21200, CarlPlayin42, https://www.youtube.com/channel/UCjBPYy24MjHGO0Qw46C6AZw, slay the spire (1)
3110, GodotGameLab, https://www.youtube.com/channel/UCzSx1NaIvdQI4Ay5yfU00QA, slay the spire (1)
1230, ケンビル, https://www.youtube.com/channel/UCqYLoWp3MQAtBwaObfslywA, slay the spire (1)
675, 3 Hour Games, https://www.youtube.com/channel/UCXiTTYt35n4MxZXK4zoxJpA, slay the spire (1)
2590000, Panda Gamer, https://www.youtube.com/channel/UCKLP8862_BtZgPR81CRFKxg, monster train (1)
191000, Mandalika Car Toys, https://www.youtube.com/channel/UCom5t3zTl8dxMPgJL8XVENw, monster train (1)
64900, Monster Toons , https://www.youtube.com/channel/UChVL2VeO2l48nOKw-1txs-w, monster train (1)
25700, ChooChoo Thomas, https://www.youtube.com/channel/UCvqsM2LdVvbR94c8gaiazkg, monster train (1)
6730, GAMIFYR, https://www.youtube.com/channel/UCJkRaIlKZQ32ENd24Gs98Ew, monster train (1)
446000, PotatoMcWhiskey, https://www.youtube.com/channel/UCAF_yy-Y4yl4VMiQ7RV3STw, breachway (1)
386000, CohhCarnage, https://www.youtube.com/channel/UCp9TXGvv2-7JVVdyKEi0A6A, breachway (1)
310000, ObsidianAnt, https://www.youtube.com/channel/UCtiq6FTXiFKQm-wqMuRijgA, breachway (1)
45900, Dad's Gaming Addiction, https://www.youtube.com/channel/UC8_zCExQ9M7UI_3Aw8Kcnzw, breachway (1)
31600, Havoc, https://www.youtube.com/channel/UCGd0SZzQKqaTeT4fPrtTxbg, breachway (1)
12400, Phrosphor, https://www.youtube.com/channel/UCKXPkLh18w6_QhE4p5IlZxw, breachway (1)
4830, MEGA the micro, https://www.youtube.com/channel/UCYLJS7tXPo-1XA3zeA9TkOA, breachway (1)
2460, RonEmpire, https://www.youtube.com/channel/UC1j41YY56Qy-v-J7fgyRYBA, breachway (1)
920, kormakrtv, https://www.youtube.com/channel/UCgzCm1WXFI8UuMTd1eUSEBQ, breachway (1)
91200, itch.io, https://www.youtube.com/channel/UC64fwl47Wrc6VJcskll7vsA, dungeons & degenerate gamblers (1)
28700, Icely Puzzles, https://www.youtube.com/channel/UC_xZVsCKBk9xT-fpPs5Q6mQ, dungeons & degenerate gamblers (1)
1240, Murphy Obv, https://www.youtube.com/channel/UC55reQdyExWqzjG7MHWYokg, dungeons & degenerate gamblers (1)
2550000, Drae, https://www.youtube.com/channel/UCf2ocK7dG_WFUgtDtrKR4rw, dungeon clawler (1)
336000, The Dice Tower, https://www.youtube.com/channel/UCiwBbXQlljGjKtKhcdMliRA, dungeon clawler (1)
17100, Ultra C, https://www.youtube.com/channel/UCCWXUcrqb9TTnNszgQenL2w, dungeon clawler (1)
7300, The Crawl, https://www.youtube.com/channel/UC_0zko7NSVLc8jVJil6R2fw, dungeon clawler (1)
3600, Stray Fawn Studio, https://www.youtube.com/channel/UCZ4Wt7t1egezRLvwkCVnJ2Q, dungeon clawler (1)
3080, Goat Force Gaming, https://www.youtube.com/channel/UC8bjFqOhHctqArxLFYr7kGQ, dungeon clawler (1)
2910, Just a Geeky Dad, https://www.youtube.com/channel/UCUKpyJWg6Yr9r09SftyVLyQ, dungeon clawler (1)
